,COMUNAS,BARRIOS,LUGAR_DEL_HECHO,N_VICTIMAS,pos x,pos y
0,8,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,AV PIEDRA BUENA Y AV FERNANDEZ DE LA CRUZ,1,-58.47533969,-34.68757022
1,9,LINIERS - MATADEROS - PARQUE AVELLANEDA,AV GRAL PAZ  Y AV DE LOS CORRALES,1,-58.50877521,-34.66977709
2,1,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,AV ENTRE RIOS 2034,1,-58.39040293,-34.63189362
3,8,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,AV LARRAZABAL Y GRAL VILLEGAS CONRADO,1,-58.46503904,-34.68092974
4,1,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,AV SAN JUAN Y PRESIDENTE LUIS SAENZ PEÑA ,1,-58.38718297,-34.6224663
5,8,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,AV 27 DE FEBRERO Y AV ESCALADA,1,-58.44451316,-34.68475866
6,11,VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA,NOGOYA Y JOAQUIN V. GONZALES,1,-58.50095869,-34.6082544
7,9,LINIERS - MATADEROS - PARQUE AVELLANEDA,AV GENERAL PAZ Y AV DE LOS CORRALES,1,-58.50877521,-34.66977709
8,1,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,AV BELGRANO Y BERNARDO DE IRIGOYEN,1,-58.38048577,-34.61303893
9,1,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,AV ENTRE RIOS 1366,1,-58.39114932,-34.62477387
10,15,AGRONOMIA - CHACARITA -  PARQUE CHAS -  PATERNAL - VILLA CRESPO - VILLA ORTUZAR,AV SCALABRINI ORTIZ Y VERA,1,-58.4376002,-34.59912758
11,4,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,AV REGIMIENTO DE PATRICIOS Y QUINQUELA MARTIN BENITO,1,-58.36882665,-34.64291993
12,8,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,MARIANO ACOSTA Y ANA MARIA JANER,1,-58.44989671,-34.65970435
13,9,LINIERS - MATADEROS - PARQUE AVELLANEDA,LISANDRO DE LA TORRE Y SEVERO GARCIA GRANDE DE ZEQUEIRA ,1,-58.50990884,-34.65468721
