ID,pos x,pos y 
39,-34.54820444296685,-58.43859582001778
108,-34.60981858571728,-58.36740671898402
141,-34.63560916890574,-58.45373126649149
182,-34.548160258960955,-58.438585091182624
186,-34.628451123078065,-58.49338185741402
187,-34.628451123078065,-58.49338185741402
188,-34.66904179845834,-58.475578133505145
266,-34.63751849976334,-58.376806262342065
327,-34.548257463742935,-58.43853144700679
564,-34.54826630053567,-58.438552904677124
578,-34.662998175302405,-58.49326682749131
642,-34.670604101331634,-58.305525170500346
